"name","geo","continent","date","year","total_vaccinations","people_vaccinated","people_fully_vaccinated","total_boosters","daily_vaccinations_raw","daily_vaccinations","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","total_boosters_per_hundred","daily_vaccinations_per_million","daily_people_vaccinated","daily_people_vaccinated_per_hundred","population","income_per_person","gdp","growth_gdp_per_capita","life_expectancy",".cluster"
"Slovenia","svn","Europe",2021-12-19,2021,2805830,1242137,1179177,384516,7636,6884,134.98,59.75,56.73,18.5,3312,523,0.025,2078723,37825,78.628,4.2,81.71,"4"
"Solomon Islands","slb","Asia",2021-12-13,2021,228912,176593,52319,NA,NA,1605,32.52,25.08,7.43,NA,2280,1159,0.165,703995,2477,1.743,2.25,69.1,"1"
"Somalia","som","Africa",2021-12-09,2021,1147627,892093,664422,NA,NA,7046,7.02,5.45,4.06,NA,431,11652,0.071,16359500,673,11.013,0.29,59.83,"1"
"South Africa","zaf","Africa",2021-12-19,2021,27513878,18674488,15599136,NA,NA,60415,45.82,31.1,25.98,NA,1006,42113,0.07,60041996,11626,698.032,0.44,67.43,"1"
"South Korea","kor","Asia",2021-12-19,2021,95622504,43493325,42070660,11565083,36831,864146,186.38,84.77,82,22.54,16843,71938,0.14,51305184,43897,2252.157,2.74,83.3,"4"
"South Sudan","ssd","Africa",2021-12-15,2021,268640,227262,181577,NA,NA,1243,2.36,2,1.6,NA,109,876,0.008,11381377,1800,20.482,3.47,60.26,"1"
"Spain","esp","Europe",2021-12-16,2021,82518671,38607797,37777929,10507992,451223,670109,176.53,82.59,80.82,22.48,14335,17065,0.037,46745211,38778,1812.676,4.25,83.58,"4"
"Sri Lanka","lka","Asia",2021-12-19,2021,32208015,15967577,13809954,2430484,86798,170925,149.82,74.28,64.24,11.31,7951,1656,0.008,21497306,12957,278.54,3.47,78.14,"2"
"St. Kitts and Nevis","kna","America North",2021-12-17,2021,54077,27484,25359,1234,NA,84,100.99,51.33,47.36,2.3,1569,18,0.034,53546,20653,1.106,8.89,NA,NA
"St. Lucia","lca","America North",2021-12-19,2021,103802,55346,48456,NA,NA,124,56.29,30.01,26.28,NA,672,32,0.017,184401,12769,2.355,10.05,76.11,"2"
"St. Vincent and the Grenadines","vct","America North",2021-12-16,2021,59702,33192,25261,NA,NA,366,53.66,29.83,22.7,NA,3289,161,0.145,111269,11928,1.327,4.84,72.78,"2"
"Sudan","sdn","Africa",2021-12-15,2021,5251235,4016849,1234386,NA,NA,282083,11.69,8.94,2.75,NA,6281,176341,0.393,44909351,3638,163.378,-1.43,71.25,"1"
"Suriname","sur","America South",2021-12-16,2021,485656,260304,225352,NA,NA,446,82.06,43.99,38.08,NA,754,140,0.024,591798,14060,8.321,0.32,72.51,"2"
"Swaziland","swz","Africa",2021-12-14,2021,375012,320460,292063,NA,NA,4867,31.99,27.33,24.91,NA,4151,2886,0.246,1172369,8274,9.7,-0.18,62.69,"1"
"Sweden","swe","Europe",2021-12-17,2021,17049272,7707313,7326603,2015251,109728,66426,167.81,75.86,72.11,19.83,6538,6346,0.062,10160159,51272,520.928,1.98,83.08,"4"
"Switzerland","che","Europe",2021-12-16,2021,12974430,5929752,5780741,1412055,83725,67302,148.87,68.04,66.33,16.2,7722,4226,0.048,8715494,67374,587.199,1.58,84.55,"4"
"Syria","syr","Asia",2021-12-12,2021,1548574,1002945,763025,NA,NA,9014,8.47,5.49,4.18,NA,493,8008,0.044,18275704,3984,72.803,1.68,73.34,"1"
"Taiwan","twn","Asia",2021-12-19,2021,33972881,18602263,15370618,58750,NA,67954,142.41,77.98,64.43,0.25,2849,18602,0.078,23855008,57024,1360.312,2.98,80.63,"4"
"Tajikistan","tjk","Asia",2021-12-12,2021,5950710,4374694,3206282,NA,NA,34239,61.04,44.87,32.89,NA,3512,179498,1.841,9749625,3568,34.791,2.59,71.17,"2"
"Tanzania","tza","Africa",2021-12-06,2021,1699523,1592897,1078102,NA,NA,25891,2.76,2.59,1.75,NA,421,14452,0.023,61498438,2602,160.008,1.59,68.41,"1"
"Thailand","tha","Asia",2021-12-18,2021,99385119,50438629,44194781,4751709,NA,315399,142.08,72.11,63.18,6.79,4509,82705,0.118,69950844,17698,1237.997,5.45,78.96,"2"
"Timor-Leste","tls","Asia",2021-12-07,2021,1142003,652294,489709,NA,NA,4254,84.98,48.54,36.44,NA,3165,778,0.058,1343875,2904,3.902,1.68,71.74,"2"
"Togo","tgo","Africa",2021-12-10,2021,2159257,1349188,810069,NA,NA,32617,25.47,15.91,9.55,NA,3847,9619,0.113,8478242,1585,13.435,1.98,65.61,"1"
"Tonga","ton","Asia",2021-12-06,2021,119535,73296,46239,NA,NA,218,111.97,68.66,43.31,NA,2042,25,0.023,106759,6212,0.663,2.63,72.21,"2"
"Trinidad and Tobago","tto","America North",2021-12-19,2021,1369857,703058,659946,54055,214,3162,97.61,50.1,47.03,3.85,2253,600,0.043,1403374,24421,34.272,3.58,74.75,"2"
"Tunisia","tun","Africa",2021-12-19,2021,11327165,6427305,5495388,701546,45314,44984,94.9,53.85,46.04,5.88,3769,19229,0.161,11935764,9983,119.16,1.5,79.12,"2"
"Turkey","tur","Europe",2021-12-19,2021,124058691,56660272,51161679,16236740,433342,343291,145.88,66.63,60.16,19.09,4037,20332,0.024,85042736,29809,2535.062,2.29,79.96,"4"
"Turkmenistan","tkm","Asia",2021-08-29,2021,7580976,4374694,3206282,NA,NA,41369,123.91,71.51,52.41,NA,6762,23860,0.39,6117933,15988,97.812,2.83,70.6,"2"
"Tuvalu","tuv","Asia",2021-10-22,2021,12114,6230,5884,NA,NA,30,101.58,52.24,49.34,NA,2516,0,0,11925,4376,0.052,3.11,NA,NA
"Uganda","uga","Africa",2021-12-09,2021,7813170,6525371,1287799,NA,NA,127573,16.58,13.85,2.73,NA,2707,111956,0.238,47123533,2136,100.651,1.93,67.29,"1"
"Ukraine","ukr","Europe",2021-12-19,2021,27373257,14386385,13007552,NA,36027,112023,62.98,33.1,29.93,NA,2577,36420,0.084,43466822,12894,560.46,3.81,71.01,"2"
"United Arab Emirates","are","Asia",2021-12-14,2021,22181292,9890441,9020082,3270769,14538,27743,222.01,98.99,90.28,32.74,2777,12,0,9991083,61292,612.377,-0.46,73.9,"4"
"United Kingdom","gbr","Europe",2021-12-18,2021,126533737,51463255,47009608,28060874,986689,766955,185.51,75.45,68.92,41.14,11245,29629,0.043,68207114,43908,2994.811,4.59,81.35,"4"
"United States","usa","America North",2021-12-19,2021,495101938,241571084,202358902,60058442,2,973877,149.12,72.76,60.95,18.09,2933,227565,0.069,332915074,63517,21145.722,2.92,78.7,"3"
"Uruguay","ury","America South",2021-12-19,2021,6898468,2761543,2669607,1467318,0,5815,197.94,79.24,76.6,42.1,1669,884,0.025,3485152,20797,72.482,2.76,77.61,"2"
"Uzbekistan","uzb","Asia",2021-12-19,2021,37347464,18519076,NA,NA,194756,192752,110.05,54.57,NA,NA,5680,41068,0.121,33935765,7203,244.451,3.5,70.9,NA
"Vanuatu","vut","Asia",2021-12-13,2021,147609,100264,47345,NA,NA,874,46.94,31.88,15.06,NA,2779,589,0.187,314464,2802,0.881,1.89,65.27,"1"
"Venezuela","ven","America South",2021-12-17,2021,30049714,18393519,11608305,NA,NA,207518,104.68,64.08,40.44,NA,7229,109880,0.383,28704947,5285,151.709,-2.64,75.18,"2"
"Vietnam","vnm","Asia",2021-12-18,2021,138772562,75697403,NA,NA,1197953,929446,141.36,77.11,NA,NA,9468,123606,0.126,98168829,8648,848.969,6.23,74.88,NA
"Yemen","yem","Asia",2021-12-02,2021,786027,556652,366587,NA,NA,2545,2.58,1.83,1.2,NA,83,1809,0.006,30490639,2372,72.321,0.1,68.25,"1"
"Zambia","zmb","Africa",2021-12-19,2021,1424762,NA,970580,NA,17707,24507,7.53,NA,5.13,NA,1295,NA,NA,18920657,3173,60.027,-1.91,64.61,"1"
"Zimbabwe","zwe","Africa",2021-12-19,2021,7123684,4054165,3069519,NA,11738,27121,47.2,26.86,20.34,NA,1797,13899,0.092,15092171,2587,39.047,1.87,62.51,"1"
